SessionName;Coach;DateStart;DateEnd;Users;Courses
Session1;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session2;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session3;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session4;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session5;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session6;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session7;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session8;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session9;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session10;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session11;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session12;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session13;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session14;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session15;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session16;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session17;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session18;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session19;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
Session20;jmontoya;2012-06-30 11:00:00;2020-06-30 11:00:00;acostea|fapple;course1[coach][acostea,fapple]|course2[coach][acostea,fapple]
